name,type,category,fdc_id,serving_size_g,serving_label,cost_index,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Avocado (Hass),fruit,Other,,100.0,100g,,176,1.1,17.4,5.3,3.0,2.3,71.5,5,0.1,0.17,1.1,,0.3,11.0,0.0,3.0,0.0,2.1,,4.0,0.3,21.0,36,330.0,15.0,0.3,,,
Pumpkin,vegetable,Squash,,100.0,100g,,11,0.3,0.2,2.4,0.7,1.4,96.6,160,0.01,0.01,0.6,,0.04,8.0,0.0,12.0,0.0,1.0,,25.0,0.1,5.0,5,200.0,1.0,0.1,,,
Forkbeard,fish_seafood,Fish,,100.0,100g,,70,17.2,0.1,0.0,0.0,0.0,81.5,1,0.03,0.03,0.56,,0.06,12.0,0.44,0.0,0.4,0.04,,11.0,0.2,28.0,230,360.0,63.0,0.5,,,
Saffron,spice,Other,,100.0,100g,,353,11.4,5.9,65.4,3.9,42.4,11.9,53,0.12,0.27,1.5,,1.3,0.0,0.0,0.0,0.0,1.69,,110.0,11.0,50.0,250,1720.0,150.0,1.1,,,
Turmeric (Dried),spice,Root/Bark,,100.0,100g,,312,6.7,7.0,66.8,22.7,44.1,9.9,3,0.09,0.11,3.7,,0.0,0.0,0.0,0.0,0.0,5.0,,170.0,40.0,190.0,290,2910.0,31.0,3.2,,,
Watercress,vegetable,Leafy Green,,100.0,100g,,29,3.4,0.9,3.4,3.0,0.4,91.2,325,0.09,0.07,0.6,,0.23,200.0,0.0,77.0,0.0,1.5,,200.0,1.7,15.0,56,230.0,49.0,0.2,,,
Rosemary (Fresh),spice,Herb,,100.0,100g,,115,1.4,4.4,21.2,7.7,13.5,73.6,92,0.1,0.21,1.0,,0.09,0.0,0.0,29.0,0.0,1.5,,370.0,8.5,40.0,20,280.0,15.0,0.9,,,
Rosemary (Dried),spice,Herb,,100.0,100g,,377,4.9,15.2,64.1,17.7,46.4,9.3,313,0.1,0.32,1.0,,0.38,0.0,0.0,0.0,0.0,9.15,,1280.0,29.0,120.0,70,950.0,50.0,3.2,,,
Lettuce,vegetable,Leafy Green,,100.0,100g,,12,0.9,0.0,2.6,1.1,1.5,95.7,224,0.0,0.06,0.4,,0.04,55.0,0.0,4.0,0.0,0.1,,70.0,1.5,22.0,46,310.0,3.0,0.1,,,2.1
Red Leaf Lettuce,vegetable,Leafy Green,,100.0,100g,,12,0.9,0.0,2.6,1.1,1.5,95.7,0,0.0,0.06,0.32,,0.1,36.0,0.0,3.7,0.0,0.1,,33.0,1.2,12.0,28,190.0,25.0,0.1,,,2.0
Nori Seaweed,vegetable,Other,,100.0,100g,,256,30.8,2.6,45.2,36.0,0.6,8.1,3500,0.92,1.66,15.5,,0.5,270.0,32.1,62.0,0.0,2.5,,250.0,26.0,860.0,440,3210.0,3200.0,3.0,,,7.0
Plum (White),fruit,Stone,,100.0,100g,,40,0.6,0.2,9.4,1.6,7.8,89.0,107,0.02,0.06,0.6,,0.05,3.0,0.0,2.0,0.0,0.61,,3.0,0.1,5.0,12,140.0,52.0,0.1,,,
Plum (Red),fruit,Stone,,100.0,100g,,41,0.8,0.2,9.3,1.9,7.4,88.0,70,0.02,0.08,0.5,,0.05,6.0,0.0,2.0,0.0,0.6,,13.0,0.2,7.0,13,190.0,2.0,0.0,,,
Plum (Greengage),fruit,Stone,,100.0,100g,,57,0.8,0.1,14.1,2.3,11.8,82.0,16,0.05,0.04,0.6,,0.05,3.0,0.0,5.0,0.0,0.6,,15.0,0.4,8.0,23,280.0,1.0,0.1,,,
Almond (Skin On),nut_seed,Tree Nut,,100.0,100g,,643,21.6,56.0,19.2,12.0,4.6,4.9,0,0.21,0.75,2.2,,0.15,49.0,0.0,1.0,0.0,24.0,,270.0,4.0,260.0,410,860.0,6.0,3.1,,,
"Almond (Roasted, Blanched)",nut_seed,Tree Nut,,100.0,100g,,650,21.6,56.8,19.3,12.2,5.0,3.0,0,0.13,0.57,2.1,,0.09,37.0,0.0,0.0,0.0,25.0,,270.0,4.1,260.0,410,870.0,6.0,3.2,,,
Blackberry (Wild),fruit,Berry,,100.0,100g,,43,1.4,0.9,9.1,4.6,4.2,88.0,27,0.02,0.04,0.54,,0.05,25.0,0.0,16.5,0.0,4.42,,28.0,0.6,22.0,33,240.0,1.8,0.5,,,0.1
Custard Apple,fruit,Tropical,,100.0,100g,,82,1.7,0.4,19.2,2.4,14.8,77.7,1,0.1,0.11,0.9,,0.2,5.0,0.0,17.0,0.0,0.1,,6.0,0.3,23.0,31,240.0,11.0,0.2,,,
Long Grain White Rice,grain,Rice,,100.0,100g,,347,6.7,0.4,80.2,2.1,0.0,13.9,0,0.06,0.03,2.0,,0.29,19.0,0.0,0.0,0.0,0.1,,13.0,0.6,32.0,87,94.0,6.0,1.3,,,
Medium Grain White Rice,grain,Rice,,100.0,100g,,357,7.4,0.5,81.8,2.2,0.0,10.7,0,0.07,0.03,2.0,,0.3,20.0,0.0,0.0,0.0,0.1,,11.0,0.6,13.0,92,110.0,6.0,1.3,,,
Tuna (Fresh),fish_seafood,Fish,,100.0,100g,,138,30.7,1.7,0.0,0.0,0.0,65.9,30,0.05,0.04,10.0,,0.21,8.3,2.4,0.0,3.5,0.1,,4.0,2.2,37.0,260,360.0,45.0,0.4,,,110.0
Cod (Fresh),fish_seafood,Fish,,100.0,100g,,76,17.8,0.5,0.0,0.0,0.0,80.0,7,0.06,0.04,2.3,,0.21,10.0,1.0,0.0,1.0,0.6,,15.0,0.3,26.0,200,360.0,65.0,0.5,,,
Cod Roe,fish_seafood,Fish,,100.0,100g,,104,21.7,1.9,0.0,0.0,0.0,73.7,79,0.78,0.49,1.0,,0.32,80.0,10.0,0.0,18.0,6.2,,11.0,1.0,9.0,320,170.0,110.0,3.5,,,
Goji Berry (Dried),vegetable,Other,,100.0,100g,,303,11.2,2.8,64.6,12.8,39.6,16.5,4,0.0,0.13,0.76,,0.16,0.0,0.0,4.5,0.0,2.1,,48.0,4.2,72.0,180,1410.0,420.0,1.1,,,3.2
Purslane,vegetable,Leafy Green,,100.0,100g,,13,1.0,0.0,3.5,2.5,1.0,95.0,478,0.06,0.04,0.2,,0.06,130.9,0.0,20.0,0.0,1.7,,130.0,3.0,68.0,70,800.0,30.0,0.2,,,
Cockle,fish_seafood,Mollusk,,100.0,100g,,59,10.5,0.7,2.7,0.0,0.0,82.5,0,0.05,0.11,1.7,,0.04,18.0,41.0,0.0,0.0,0.0,,56.0,5.9,58.0,160,62.0,380.0,1.1,,,
Sea Bream,fish_seafood,Fish,,100.0,100g,,102,19.5,2.7,0.0,0.0,0.0,75.5,,0.07,,2.4,,0.32,17.0,4.8,0.0,0.0,1.1,,15.0,0.4,40.0,250,400.0,120.0,0.9,,,
Lamb (Leg/Chop),lamb,Leg,,100.0,100g,,124,19.7,5.0,0.0,0.0,0.0,73.6,0,0.14,0.24,5.0,,0.37,3.0,2.0,0.0,0.4,0.1,,11.0,1.7,27.0,220,280.0,64.0,3.8,,,
Whelk,fish_seafood,Mollusk,,100.0,100g,,82,17.8,0.2,2.3,0.0,0.0,78.2,3,0.0,0.12,0.9,,0.11,15.0,6.5,0.0,0.0,1.8,,60.0,1.3,92.0,120,160.0,380.0,1.2,,,
Goat (Chop),lamb,Rib,,100.0,100g,,120,23.9,2.7,0.0,0.0,0.0,72.2,0,0.13,0.32,6.6,,0.32,5.0,1.3,0.0,0.4,0.09,,14.0,1.1,26.0,130,440.0,94.0,4.6,,,
Goat (Breast),lamb,Other Cut,,100.0,100g,,116,20.5,3.8,0.0,0.0,0.0,74.2,0,0.13,0.32,6.1,,0.3,5.0,1.1,0.0,0.0,0.09,,11.0,0.5,22.0,230,390.0,82.0,4.0,,,
Goat (Leg),lamb,Leg,,100.0,100g,,113,19.3,4.0,0.0,0.0,0.0,75.2,0,0.13,0.3,6.0,,0.3,5.0,1.1,0.0,0.0,0.09,,9.0,0.9,21.0,270,360.0,77.0,3.7,,,
Dogfish,fish_seafood,Fish,,100.0,100g,,82,20.0,0.2,0.0,0.0,0.0,79.0,3,0.04,0.03,1.9,,0.12,6.2,3.3,0.0,0.4,0.35,,14.0,0.1,32.0,190,290.0,170.0,0.3,,,
Red Pandora,fish_seafood,Fish,,100.0,100g,,80,18.3,0.7,0.0,0.0,0.0,79.0,0,0.02,0.05,1.5,,0.22,7.0,1.3,0.0,0.9,1.9,,30.0,0.8,28.0,190,320.0,61.0,0.8,,,
Cinnamon (Ground),spice,Root/Bark,,100.0,100g,,315,3.9,3.2,79.9,24.4,55.5,10.0,26,0.08,0.14,1.3,,0.25,0.0,0.0,28.0,0.0,0.1,,1230.0,38.0,56.0,61,500.0,26.0,2.0,,,
Lamb's Lettuce,vegetable,Leafy Green,,100.0,100g,,24,2.0,0.4,4.1,2.1,2.0,93.4,680,0.08,0.08,0.4,,0.19,94.2,0.0,39.0,0.0,0.3,,32.0,3.1,13.0,52,380.0,9.5,0.5,,,
Redfish,fish_seafood,Fish,,100.0,100g,,101,18.6,2.9,0.0,0.0,0.0,77.3,20,0.13,0.09,2.8,,0.18,6.0,2.3,0.0,2.3,1.2,,15.0,0.6,29.0,200,310.0,78.0,0.6,,,
Snail,fish_seafood,Mollusk,,100.0,100g,,85,16.1,1.4,2.0,0.0,0.0,79.0,90,0.13,0.18,0.9,,0.1,20.0,5.0,15.0,1.1,0.8,,170.0,3.5,250.0,200,120.0,73.0,2.0,,,50.0
Star Fruit,fruit,Tropical,,100.0,100g,,40,0.5,0.3,8.8,1.7,6.9,91.0,8,0.03,0.03,0.4,,0.0,0.0,0.0,27.0,0.0,0.0,,5.0,0.6,7.0,15,150.0,3.0,0.1,,,
Horse Mackerel,fish_seafood,Fish,,100.0,100g,,105,19.7,2.9,0.0,0.0,0.0,75.6,15,0.15,0.15,5.0,,0.36,15.0,5.7,0.0,4.1,0.37,,69.0,1.2,33.0,260,400.0,80.0,1.2,,,
Cardamom (Green),spice,Seed,,100.0,100g,,335,10.8,6.2,68.5,19.0,5.2,10.4,0,0.2,0.18,1.1,,0.23,0.0,0.0,21.0,0.0,0.0,,240.0,5.6,69.0,66,210.0,370.0,1.7,,,
Mutton (Chop),lamb,Rib,,100.0,100g,,151,20.8,7.5,0.0,0.0,0.0,70.0,0,0.09,0.18,4.8,,0.3,3.0,2.0,0.0,0.4,0.09,,17.0,0.9,24.0,220,350.0,88.0,4.0,,,
Mutton (Shoulder),lamb,Shoulder,,100.0,100g,,195,20.5,12.6,0.0,0.0,0.0,65.7,0,0.14,0.32,4.3,,0.22,2.0,2.0,0.0,0.4,0.07,,12.0,1.3,16.0,210,270.0,66.0,2.0,,,
"Mutton (Breast, Fatty)",lamb,Other Cut,,100.0,100g,,396,16.8,36.5,0.0,0.0,0.0,46.0,0,0.3,0.32,4.5,,0.16,11.0,1.0,0.0,0.6,0.09,,17.0,1.2,16.0,220,300.0,110.0,3.0,,,
"Mutton (Leg, Fatty)",lamb,Leg,,100.0,100g,,276,19.1,22.2,0.0,0.0,0.0,57.5,0,0.32,0.23,5.0,,0.23,3.0,2.3,0.0,0.5,0.07,,11.0,1.2,25.0,190,360.0,60.0,3.2,,,
"Mutton (Leg, Lean)",lamb,Leg,,100.0,100g,,130,19.8,5.6,0.0,0.0,0.0,72.8,0,0.14,0.21,5.0,,0.3,6.0,2.0,0.0,0.7,0.05,,18.0,1.5,16.0,250,300.0,110.0,1.9,,,
Mutton Kidney,lamb,Other Cut,,100.0,100g,,92,16.2,3.0,0.0,0.0,0.0,79.2,100,0.34,2.4,5.7,,0.61,8.0,17.0,12.0,0.0,0.37,,11.0,5.2,17.0,230,280.0,160.0,1.9,,,
Chestnut,nut_seed,Tree Nut,,100.0,100g,,194,3.1,1.1,45.9,6.1,9.8,48.5,11,0.22,0.12,0.5,,0.35,61.0,0.0,51.0,0.0,1.2,,20.0,0.8,33.0,63,500.0,9.0,0.5,,,
Horse Meat (Loin),beef,Other Cut,,100.0,100g,,99,19.6,2.3,0.0,0.0,0.0,77.0,21,0.11,0.13,3.5,,0.4,16.0,3.0,0.0,0.4,0.06,,13.0,3.6,23.0,210,340.0,48.0,2.9,,,
Sweet Onion,vegetable,Allium,,100.0,100g,,25,0.8,0.0,6.0,1.1,4.8,92.8,0,0.13,0.01,0.6,,0.2,17.0,0.0,8.0,0.0,0.3,,31.0,0.5,12.0,30,210.0,0.0,0.3,,,
Red Onion,vegetable,Allium,,100.0,100g,,43,0.7,0.0,11.3,2.7,5.9,87.5,0,0.13,0.01,0.6,,0.2,17.0,0.0,8.0,0.0,0.3,,31.0,0.5,12.0,30,210.0,0.0,0.3,,,
Chives (Fresh),spice,Herb,,100.0,100g,,28,2.8,0.6,3.8,2.1,1.7,92.0,567,0.07,0.2,0.6,,0.22,64.0,0.0,41.0,0.0,1.6,,77.0,1.3,17.0,51,220.0,3.0,0.4,,,
Baby Carrot,vegetable,Root,,100.0,100g,,29,0.6,0.1,7.8,2.9,4.8,90.4,1065,0.03,0.04,0.56,,0.11,27.0,0.0,2.6,0.0,0.5,,32.0,0.9,10.0,28,240.0,78.0,0.2,,,0.9
Chervil (Fresh),spice,Herb,,100.0,100g,,80,4.0,1.0,15.3,3.3,0.0,80.0,245,0.12,0.34,0.3,,0.03,44.0,0.0,35.0,0.0,3.0,,260.0,1.6,25.0,30,600.0,10.0,0.4,,,
Cherry,fruit,Stone,,100.0,100g,,67,0.8,0.7,14.9,1.6,13.3,82.6,24,0.04,0.06,0.2,,0.04,5.0,0.0,6.0,0.0,0.13,,14.0,0.4,10.0,15,210.0,1.0,0.1,,,
Grouper,fish_seafood,Fish,,100.0,100g,,132,17.9,6.7,0.0,0.0,0.0,74.4,55,0.04,0.03,1.8,,0.24,6.0,0.7,0.0,6.6,2.6,,8.0,0.4,27.0,170,290.0,110.0,0.7,,,
Blue Jack Mackerel,fish_seafood,Fish,,100.0,100g,,105,19.7,2.9,0.0,0.0,0.0,75.6,15,0.15,0.15,5.0,,0.36,15.0,5.7,0.0,4.1,0.37,,69.0,1.2,33.0,260,400.0,80.0,1.2,,,
Chicory,vegetable,Leafy Green,,100.0,100g,,14,1.0,0.1,3.5,2.6,0.9,95.0,20,0.06,0.09,0.3,,0.05,14.0,0.0,2.0,0.0,0.0,,30.0,0.3,6.0,23,170.0,4.0,0.1,,,
Cuttlefish,fish_seafood,Mollusk,,100.0,100g,,79,18.9,0.4,0.0,0.0,0.0,78.6,9,0.04,0.03,1.1,,0.06,8.8,1.2,0.0,0.0,0.94,,8.0,0.1,49.0,270,320.0,200.0,1.7,,,
Chayote,vegetable,Squash,,100.0,100g,,19,0.8,0.1,4.6,1.7,2.9,94.2,3,0.03,0.03,0.47,,0.08,93.0,0.0,7.7,0.0,0.51,,17.0,0.3,12.0,18,130.0,2.0,0.7,,,
Clementine,fruit,Citrus,,100.0,100g,,53,0.8,0.2,12.8,1.7,11.1,85.6,12,0.08,0.04,0.3,,0.07,32.0,0.0,40.0,0.0,0.33,,29.0,0.1,11.0,17,160.0,2.0,0.1,,,
Quail (Skinless),poultry,Other Poultry,,100.0,100g,,119,22.1,3.4,0.0,0.0,0.0,72.7,17,0.17,0.22,9.1,,0.56,7.0,0.47,0.0,0.2,0.2,,13.0,3.1,29.0,240,250.0,45.0,2.7,,,
Quail,poultry,Other Poultry,,100.0,100g,,170,21.5,9.3,0.0,0.0,0.0,68.3,72,0.15,0.2,7.5,,0.6,8.0,0.43,0.0,0.5,0.1,,13.0,2.7,27.0,220,220.0,47.0,2.4,,,
Rabbit,poultry,Other Poultry,,100.0,100g,,117,20.3,4.0,0.0,0.0,0.0,74.4,0,0.1,0.16,4.0,,0.5,5.0,9.0,0.0,0.5,0.13,,17.0,1.0,20.0,220,380.0,58.0,1.5,,,
Cilantro (Fresh),spice,Herb,,100.0,100g,,28,2.4,0.6,4.7,2.9,1.5,92.8,102,0.07,0.12,0.7,,0.18,18.0,0.0,63.0,0.0,0.7,,98.0,1.9,26.0,36,540.0,28.0,0.2,,,
Cremini Mushroom,vegetable,Other,,100.0,100g,,23,3.2,0.2,2.7,1.2,0.1,93.2,0,0.09,0.31,2.21,,0.18,44.0,0.0,1.0,0.0,0.1,,3.0,0.1,8.2,89,340.0,5.0,0.4,,,21.0
Oyster Mushroom,vegetable,Other,,100.0,100g,,27,2.4,0.2,5.0,2.3,2.6,91.9,0,0.09,0.31,1.72,,0.18,44.0,0.0,1.0,0.0,0.1,,3.0,0.1,11.0,63,260.0,5.0,0.5,,,21.0
Mushroom,vegetable,Other,,100.0,100g,,18,1.8,0.5,2.8,2.3,0.3,92.6,0,0.09,0.31,3.2,,0.18,44.0,0.0,1.0,0.0,0.1,,6.0,0.6,9.0,80,320.0,5.0,0.4,,,
Meagre,fish_seafood,Fish,,100.0,100g,,94,20.4,1.4,0.0,0.0,0.0,76.7,1,0.07,0.14,2.7,,0.29,12.0,0.3,0.0,16.0,0.45,,13.0,0.3,31.0,230,430.0,56.0,0.5,,,
White Cabbage,vegetable,Cruciferous,,100.0,100g,,28,1.4,0.4,5.9,2.4,3.4,91.8,7,0.12,0.01,0.3,,0.18,34.0,0.0,40.0,0.0,0.2,,50.0,0.6,6.0,38,240.0,7.0,0.2,,,
Savoy Cabbage,vegetable,Cruciferous,,100.0,100g,,26,2.4,0.2,5.2,3.1,2.0,91.1,166,0.15,0.03,0.7,,0.15,150.0,0.0,67.0,0.0,0.2,,51.0,0.5,12.0,64,250.0,9.0,0.3,,,
Portuguese Kale,vegetable,Leafy Green,,100.0,100g,,31,2.2,0.4,5.9,2.4,3.4,90.6,233,0.12,0.06,0.7,,0.13,78.0,0.0,90.0,0.0,0.2,,76.0,1.0,28.0,65,270.0,15.0,0.4,,,
Gilt-head Bream,fish_seafood,Fish,,100.0,100g,,167,19.7,9.8,0.0,0.0,0.0,68.9,11,0.2,0.08,5.1,,0.36,24.0,4.8,0.0,12.0,0.82,,15.0,0.4,28.0,250,380.0,59.0,0.8,,,
Endive,vegetable,Leafy Green,,100.0,100g,,19,1.8,0.4,3.0,1.8,1.2,93.7,73,0.06,0.1,0.4,,0.02,35.2,0.0,12.0,0.0,0.3,,44.0,2.8,10.0,36,380.0,22.0,0.2,,,1.0
Eel,fish_seafood,Fish,,100.0,100g,,303,13.4,27.7,0.0,0.0,0.0,57.4,887,0.28,0.26,1.3,,0.15,9.3,1.9,0.0,16.0,2.4,,140.0,0.5,16.0,250,180.0,77.0,2.5,,,
Dried Pea,legume,Pea,,100.0,100g,,330,22.7,1.3,64.4,15.0,2.3,9.3,44,0.88,0.3,2.9,,0.13,33.0,0.0,0.0,0.0,1.0,,61.0,3.7,120.0,340,1040.0,40.0,3.7,,,
Green Pea (Frozen),legume,Pea,,100.0,100g,,68,5.3,0.5,14.0,7.0,1.4,79.4,67,0.32,0.02,1.8,,0.1,58.0,0.0,14.0,0.0,0.18,,32.0,1.1,17.0,96,210.0,11.0,0.9,,,
Green Pea (Fresh),legume,Pea,,100.0,100g,,76,6.4,0.7,13.3,4.7,1.8,78.6,48,0.74,0.02,1.1,,0.12,62.0,0.0,20.0,0.0,0.2,,36.0,2.0,21.0,130,360.0,11.0,1.0,,,
Snow Pea,vegetable,Legume,,100.0,100g,,33,3.1,0.2,5.4,1.5,2.9,90.7,33,0.17,0.14,0.5,,0.16,7.0,0.0,30.0,0.0,0.18,,54.0,0.7,25.0,39,150.0,4.0,0.6,,,
Swordfish,fish_seafood,Fish,,100.0,100g,,97,17.8,2.9,0.0,0.0,0.0,77.5,0,0.11,0.04,4.1,,0.47,14.0,1.4,0.0,1.3,0.09,,5.0,0.6,30.0,260,390.0,72.0,0.9,,,
Tarragon (Fresh),spice,Herb,,100.0,100g,,55,3.4,1.1,9.2,2.9,6.3,86.3,63,0.15,0.3,1.2,,0.0,0.0,0.0,2.0,0.0,0.5,,170.0,29.0,51.0,46,450.0,9.0,0.6,,,
Tarragon (Dried),spice,Herb,,100.0,100g,,363,22.8,7.2,60.9,18.1,42.8,7.7,420,0.25,0.3,8.9,,0.0,0.0,0.0,0.0,0.0,0.7,,1140.0,32.0,350.0,310,3020.0,62.0,3.9,,,
Pouting,fish_seafood,Fish,,100.0,100g,,82,19.0,0.6,0.1,0.0,0.0,78.8,0,0.02,0.05,1.8,,0.21,10.0,1.0,0.0,1.0,0.6,,25.0,0.6,24.0,80,530.0,68.0,0.2,,,
Wheat Bran,grain,Wheat,,100.0,100g,,293,16.2,5.3,65.1,40.2,2.4,8.2,0,0.89,0.36,29.6,,1.38,140.0,0.0,0.0,0.0,1.6,,75.0,19.0,480.0,1060,1340.0,28.0,7.7,,,6.8
Oat Flour,grain,Other,,100.0,100g,,363,14.5,7.3,62.7,5.7,1.3,12.0,0,0.33,0.09,2.4,,0.13,46.0,0.0,0.0,0.0,0.9,,43.0,6.3,130.0,430,410.0,2.0,4.5,,,8.6
Rye Flour,grain,Other,,100.0,100g,,370,7.8,1.2,86.7,9.4,0.0,12.1,0,0.35,0.13,0.4,,0.36,71.0,0.0,0.0,0.0,0.85,,30.0,1.8,71.0,150,330.0,1.0,2.3,,,
Rye Flour (Type 70),grain,Other,,100.0,100g,,364,6.6,1.1,85.5,7.0,0.0,12.5,0,0.31,0.11,0.5,,0.36,63.0,0.0,0.0,0.0,0.8,,23.0,1.6,49.0,110,240.0,1.0,1.6,,,
Rye Flour (Type 85),grain,Other,,100.0,100g,,375,9.0,1.3,87.7,11.7,0.0,11.7,0,0.38,0.15,0.3,,0.35,78.0,0.0,0.0,0.0,0.9,,36.0,1.9,92.0,190,410.0,1.0,3.0,,,
Barley Flour,grain,Other,,100.0,100g,,330,8.8,2.5,72.0,7.6,0.9,14.0,0,0.37,0.12,5.7,,0.22,19.0,0.0,0.0,0.0,0.3,,23.0,4.5,89.0,300,360.0,3.3,2.8,,,4.8
Spelt Flour,grain,Wheat,,100.0,100g,,339,14.0,2.3,69.2,7.4,1.9,13.1,0,0.25,0.05,0.35,,0.13,45.0,0.0,0.0,0.0,1.4,,26.0,3.0,89.0,310,330.0,0.0,2.8,,,5.7
Cornmeal (Fine),grain,Other,,100.0,100g,,359,8.3,2.2,77.9,2.6,0.0,13.0,0,0.36,0.1,1.0,,0.56,10.0,0.0,0.0,0.0,0.0,,8.0,0.8,46.0,100,120.0,1.0,1.0,,,
Cassava Flour,grain,Other,,100.0,100g,,350,1.4,0.3,86.2,1.6,0.0,11.0,0,0.13,0.03,0.7,,0.0,10.0,0.0,0.0,0.0,0.0,,54.0,1.6,2.0,59,20.0,25.0,0.1,,,
